,JobTitle,Require
1761,FULLSTACK,"JAVASCRIPT,MYSQL,PHP"
1762,FRONTEND," HTML5, REACTJS"
1763,MOBILE,"OBJECTIVE C, SWIFT, IOS"
1764,PHP,"MYSQL, PHP, WORDPRESS, SYMFONY, LARAVEL"
1765,MOBILE,"C#,JAVASCRIPT,SWIFT,DART,C++"
1766,DATABASE ADMINISTRATOR,"SQL, NOSQL, DATABASE"
1767,DATA ANALYST,"SQL,C/C++,GITHUB,R,JAVASCRIPT,SCALA"
1768,BACKEND,".NET,SQL,ASP.NET"
1769,BACKEND," JAVA,  PHP, OOP,  NODEJS,  PYTHON,  SQL,  BACK-END"
1770,SOFTWARE," PYTHON,  JAVASCRIPT, SQL"
1771,PHP,"PHP,HTML5,JAVASCRIPT"
1772,PHP,"JQUERY,MVC,SQL,LINUX,AJAX"
1773,BUSINESS ANALYST,"POWERSHELL,PYTHON,VBA,R"
1774,DATA ANALYST,"PYTHON,JAVASCRIPT,GITHUB,SAS"
1775,UI/UX DESIGNER,"CSS,XML,FIGMA"
1776,QA," MANAGER, QA"
1777,JAVA,"APACHE,SCALA,JSON,JAVA,MAVEN"
1778,FULLSTACK,"VUEJS, PYTHON, JAVA"
1779,C/C++,"C++,C LANGUAGE,OOP"
1780,SYSTEM ADMIN," WEB SERVICE,  LINUX, SYSTEM ADMIN"
1781,JAVA,"CSS,APACHE,HTML,SCALA,MAVEN"
1782,BUSINESS ANALYST," AGILE,  BUSINESS ANALYST, ENGLISH"
1783,PROJECT MANAGER,"PRODUCT MANAGER, SCRUM, PROJECT MANAGER"
1784,JAVA,"CSS,APACHE,SQL,JSON,GROOVY"
1785,TESTER,"C#,JAVASCRIPT,JAVA"
1786,JAVA,"APACHE,SCALA,JAVASCRIPT,SQL,MAVEN"
1787,JAVA,"JAVA,SPRING,JQUERY"
1788,TESTER,"TESTER, QC, QA, ENGLISH"
1789,GAME,"C++,HTML5,GOLANG,C#,JAVASCRIPT,DART"
1790,TESTER,"QA QC,TESTER,ENGLISH"
1791,BACKEND," JAVASCRIPT,  NODEJS, DEVOPS"
1792,SOFTWARE,"PYTHON,R,GOLANG,JAVASCRIPT,RUBY,C++"
1793,BACKEND,"SQL, JAVASCRIPT, NODEJS"
1794,BUSINESS ANALYST,"VISIO,SPSS,VBA,EXCEL,SAS,PYTHON"
1795,JAVA,"JSON,HTML,KOTLIN,SQL,GROOVY"
1796,FULLSTACK,"LINUX,REDIS,RESTFUL APIS,AWS"
1797,SOLUTION ARCHITECT,"SPRING, JAVA, J2EE"
1798,DATA,"GOLANG,MONGODB,POSTGRESQL,POWER BI,KAFKA,JAVA"
1799,MOBILE,"RUBY,SWIFT,C#"
1800,BUSINESS ANALYST,BUSINESS ANALYST
1801,.NET,"AZURE,REST,DOCKER,.NET CLI,GIT"
1802,FRONTEND,"VUEJS, FRONT-END, TYPESCRIPT, NUXTJS"
1803,DATA,"MONGODB,APACHE,SQL,TABLEAU,KAFKA,SNOWFLAKE"
1804,MOBILE,"REACT NATIVE,JAVA,RUBY,PYTHON"
1805,PHP,"MYSQL,AJAX,PHP,JAVASCRIPT,MVC"
1806,PRODUCT MANAGER,"PRODUCT MANAGER,SCRUM MASTER"
1807,DATA,"POSTGRESQL,SPARK,JAVA,POWER BI,KAFKA"
1808,PHP,"AJAX,MVC,JAVASCRIPT,HTML,SQL"
1809,PROJECT MANAGER,"PROJECT MANAGER,ENGLISH"
1810,JAVA,"C#, DATABASE, JAVA"
1811,SOFTWARE,"C++, PHP, JAVASCRIPT, VUEJS"
1812,BACKEND,"SQL,SOAP,RUST,KAFKA,APACHE"
1813,UI/UX DESIGNER,"UX DESIGN, UX/UI DESIGN"
1814,SYSTEM,"SYSTEM,NETWORKING,SYSTEM ADMIN, ACCEPTED"
1815,SOFTWARE,"R,C#,C++,RUBY,SQL,JAVASCRIPT"
1816,MOBILE," JAVASCRIPT,  REACT NATIVE, ENGLISH"
1817,.NET,".NET, C#, ASP.NET, TECHNICAL MANAGER, DOCKER, AWS, .NET CORE, AZURE, KUBERNETES"
1818,UI/UX DESIGNER,"FIGMA,ADOBE XD,SKETCH,JAVASCRIPT,PHOTOSHOP,XML"
1819,JAVA,"SQL,JSON,JAVA,SCALA"
1820,BACKEND,".NET, MYSQL, GOLANG"
1821,SOFTWARE,"ASP.NET,JAVASCRIPT,C#,.NET,WCF,SOFTWARE"
1822,JAVA,"HTML,KOTLIN"
1823,DATA,"AZURE, DATA ANALYTICS, SQL SERVER, ETL, SSIS"
1824,FULLSTACK,"REACTJS, JAVA, NODEJS"
1825,SOFTWARE,"LARAVEL, AWS, PHP"
1826,DATA ANALYST,"SQL,JULIA,PYTHON,GITHUB,C/C++,JAVA"
1827,SOFTWARE,"SQL,JAVASCRIPT,R,C#,RUBY,C++"
1828,FULLSTACK," RUBY,  JAVASCRIPT, REACTJS"
1829,DEVOPS,"PYTHON,SQL,BASH,PERL"
1830,SOFTWARE,"SPRING,  EMBEDDED, QT FRAMEWORK"
1831,TESTER,"PYTHON,RUBY,KOTLIN,C#"
1832,NETWORK,"EMBEDDED, LINUX"
1833,PROJECT MANAGER,"MANAGER, ENGLISH, PROJECT MANAGER"
1834,MOBILE,"JAVA,JAVASCRIPT,C++,C#,SWIFT,RUST"
1835,FULLSTACK,"MONIT,TAILWIND,LINUX"
1836,FRONTEND,"TYPESCRIPT,CSS,JAVASCRIPT,REACTJS"
1837,DEVOPS,"PERL,POWERSHELL,BASH,JAVASCRIPT,PUPPET,GOLANG"
1838,C++,"C++,LINUX,C#"
1839,PHP,"LINUX,AJAX,HTML"
1840,MOBILE,"ANDROID,HTML5,IOS"
1841,JAVA,"JAVASCRIPT,JSON,HTML,SCALA,CSS"
1842,SYSTEM,"SYSTEM, ORACLE, LINUX"
1843,JAVA,"JAVA,ORACLE,SQL"
1844,DEVOPS,"RUBY,PUPPET,PYTHON,BASH,POWERSHELL,JAVASCRIPT"
1845,UI/UX DESIGNER,"CSS,JAVASCRIPT,SKETCH,XML,PHOTOSHOP"
1846,SOFTWARE,"C#,SQL,.NET,SOFTWARE"
1847,GAME,"C#,HTML5"
1848,GAME,"ANDROID, UNITY, GAMES"
1849,DATA,"APACHE,GOLANG,POWER BI"
1850,.NET,".NET,ASP.NET,C#, ACCEPTED"
1851,FULLSTACK,"TAILWIND,GIT,REDIS,LINUX,GITHUB,RESTFUL APIS"
1852,TESTER,AUTOMATION TESTER
1853,PHP,"PHP,WORDPRESS,JAVASCRIPT, ACCEPTED"
1854,BUSINESS ANALYST,"SPSS,VBA,POWER BI,TABLEAU,PYTHON"
1855,QA,"QA,AUTOMATION TESTER"
1856,TESTER,"QA,QC,TESTER,ENGLISH"
1857,BUSINESS ANALYST," AGILE,  BUSINESS ANALYST, SCRUM"
1858,TESTER," JAVA,  QA QC, TESTER"
1859,SOFTWARE,"JAVASCRIPT, C#, .NET"
1860,MOBILE,"KOTLIN,SWIFT,DART,SCALA"
1861,FRONTEND,"ANGULAR,GIT,CSS,JAVASCRIPT,NEXTJS"
1862,GAME,"C#,C,LUA,JAVASCRIPT,PYTHON,C++"
1863,FRONTEND,"CSS,TYPESCRIPT,ANGULAR,GITHUB"
1864,PHP,"PHP,CSS,JAVASCRIPT,SQL,HTML"
1865,BACKEND,"APACHE,KUBERNETES,PHP,DOCKER,KAFKA,SOAP"
1866,MOBILE,"JAVA,C++,RUBY,SWIFT"
1867,BACKEND,"NODEJS,SQL,JAVASCRIPT, ACCEPTED"
1868,FRONTEND,"REACTJS, FRONT-END, TYPESCRIPT"
1869,SOFTWARE,"JAVASCRIPT,R"
1870,DATA ANALYST,"MATLAB,R,C/C++,SQL,GITHUB,JULIA"
1871,FRONTEND,"DRUPAL, JAVASCRIPT, CSS"
1872,FRONTEND,"JAVASCRIPT,FRONT-END,REACTJS,TYPESCRIPT"
1873,RUBY,"AWS, RUBY ON RAILS, RUBY"
1874,DATA,"MONGODB,SNOWFLAKE,TABLEAU,POWER BI"
1875,MOBILE,"DART,JAVASCRIPT,KOTLIN,C++,RUBY"
1876,SOFTWARE," SQL,  PHP, AWS"
1877,FRONTEND," HTML5,  REACTJS, CSS"
1878,.NET,"GITLAB,.NET CLI,REST,AZURE,GITHUB,C#"
1879,FULLSTACK,"CSS,JAVASCRIPT,NODEJS,HTML,MONGODB,FULL-STACK,REACTJS"
1880,SOFTWARE,"HTML & CSS, JAVASCRIPT, SOFTWARE, TYPESCRIPT, RESTFUL API"
1881,SOFTWARE ARCHITECT,"JAVA, MANAGER, SOFTWARE ARCHITECT"
1882,MOBILE,"ENGLISH, IOS, SWIFT"
1883,SOFTWARE ARCHITECT," CLOUD,  SOFTWARE ARCHITECT, ENGLISH"
1884,FRONTEND,"GRAPHQL,GIT,JAVASCRIPT,CSS"
1885,BACKEND,"PHP,NOSQL,KAFKA,APACHE,RUST,GOLANG"
1886,FRONTEND,"VUEJS,JAVASCRIPT,HTML,GITHUB,GRAPHQL,ANGULAR"
1887,DATA ANALYST,"JAVA,SCALA,POWER BI,SQL,JULIA"
1888,SOFTWARE,"PYTHON,C++,JAVA,GOLANG,C#,SQL"
1889,DATA,"JAVA,GOLANG,POSTGRESQL,APACHE"
1890,UI/UX DESIGNER,"CSS,PHOTOSHOP,SKETCH,ADOBE XD,FIGMA,HTML"
1891,SOFTWARE,"REACT JS, AWS, JAVA EE"
1892,PROJECT MANAGER,"PROJECT MANAGER, MANAGER, PRODUCT MANAGER"
1893,PRODUCT MANAGER,"BUSINESS ANALYST, PRODUCT MANAGER, PROJECT MANAGER"
1894,PHP,"JAVASCRIPT,CSS"
1895,DEVOPS,"GOLANG,BASH,JAVASCRIPT,PUPPET,PYTHON"
1896,DATA,"SQL,POSTGRESQL,KAFKA,MONGODB,POWER BI"
1897,BUSINESS ANALYST,"JAVASCRIPT,MONGODB"
1898,DEVOPS,"GOLANG,JAVASCRIPT,C,RUBY,JAVA,BASH"
1899,CLOUD,"AWS,CLOUD,SOLUTION ARCHITECT"
1900,.NET,"REST,SQL,C#,MICRO-SERVICES,GITHUB"
1901,TESTER,"EMBEDDED, TESTER, C++"
1902,SOFTWARE,"C LANGUAGE, EMBEDDED, ENGLISH"
1903,DEVOPS,"AWS, DEVOPS, CI/CD, KAFKA"
1904,TESTER," ENGLISH,  QA QC, TESTER"
1905,DEVOPS,"PUPPET,BASH,PYTHON,RUBY"
1906,DATA ANALYST,"SCALA,SAS,MATLAB"
1907,JAVA," C#,  JAVA, DATABASE"
1908,GAME,"DART,C++"
1909,TESTER,"SCRUM,QA/QC,API,AUTOMATION QA,SELENIUM"
1910,FRONTEND,"JAVASCRIPT, CSS, ANGULAR"
1911,UI/UX DESIGNER,"FIGMA,SKETCH,JAVASCRIPT,CSS,XML"
1912,BUSINESS ANALYST,"BUSINESS ANALYST,ENGLISH,CLOUD"
1913,PHP,"LINUX,PHP,JAVASCRIPT"
1914,FULLSTACK," REACTJS,  NODEJS, FULL-STACK"
1915,GAME,"LUA,HTML5,C#,GOLANG,PYTHON"
1916,JAVA,"SQL, JAVA, SPRING"
1917,MOBILE,"C#,JAVASCRIPT,RUST,REACT NATIVE"
1918,.NET,"ASP.NET, SQL, C#"
1919,JAVA,"SPRING, JAVA, MVC"
1920,DEVOPS,"JAVASCRIPT,PHP,PERL,C"
1921,BUSINESS ANALYST,"AGILE, BUSINESS ANALYST"
1922,DATA,"SPARK,KAFKA,PYTHON,APACHE,SNOWFLAKE,POWER BI"
1923,PRODUCT MANAGER,"PRODUCT MANAGER, UX/UI DESIGN, BUSINESS ANALYST"
1924,GAME,"PYTHON,LUA,DART,C"
1925,BACKEND,"NOSQL,RUST,PYTHON,APACHE,GIT,PHP"
1926,JAVA,"SCALA,KOTLIN,JSON,HTML"
1927,GAME,"GIT, COCOS2D, COCOS2D-X, GAME, JSON/XML"
1928,GAME,"JAVA,HTML5,DART"
1929,ERP,"ODOO,RESTFUL API,API,POSTGRESQL"
1930,BACKEND," JAVASCRIPT,  PHP, JAVA,  GOLANG,  NODEJS,  PYTHON,  BACK-END"
1931,BACKEND,"JAVASCRIPT, NODEJS, ENGLISH"
1932,DATA,"SQL,APACHE,POWER BI,JAVA"
1933,SOFTWARE,"C++,SQL,RUBY,C#,JAVA,PYTHON"
1934,BUSINESS ANALYST,"SQL,R,VBA,MONGODB,SPSS,PYTHON"
1935,BUSINESS ANALYST,"PYTHON,SAS,VISIO,POWERSHELL,VBA"
1936,SOFTWARE,"PYTHON, JAVA, C/C++, IPS/IDS, SYSTEM SECURITY, FIRMWARE"
1937,PHP,"PROJECT MANAGER, PHP, BRIDGE"
1938,BACKEND,"RUBY ON RAILS,NODEJS,PHP"
1939,JAVA,"GROOVY,CSS,HTML,JAVA,SQL"
1940,PYTHON,"CLOUD, AWS, PYTHON"
1941,JAVA,"SPRING, OOP, JAVA"
1942,BUSINESS ANALYST,"SAS,TABLEAU,MONGODB,SQL"
1943,TESTER,"RUBY,JAVASCRIPT"
1944,MOBILE,"KOTLIN, ANDROID, JAVA"
1945,DEVOPS," DEVOPS, ENGLISH"
1946,SOLUTION ARCHITECT,"AWS, CLOUD, SOFTWARE ARCHITECT"
1947,PHP," MVC,  PHP, LARAVEL"
1948,DATA ANALYST,"JULIA,JAVA,JAVASCRIPT,MATLAB,SCALA,POWER BI"
1949,DEVOPS,"BASH,POWERSHELL,RUBY,PUPPET"
1950,.NET," ASP.NET,  HTML5, C#"
1951,FRONTEND,"REACTJS, ANGULAR, JAVASCRIPT"
1952,FULLSTACK," ASP.NET,  .NET, ANGULARJS"
1953,FRONTEND,"NPM,VITE,CSS"
1954,PRODUCT MANAGER," UI-UX,  PRODUCT MANAGER, ENGLISH"
1955,UI/UX DESIGNER,"JAVASCRIPT,SKETCH,XML"
1956,PROJECT MANAGER,"MANAGER,PROJECT MANAGER,JAPANESE,BSE LEADER,PROJECT LEADER"
1957,DEVOPS,"AWS, DEVOPS, CLOUD"
1958,DEVOPS,"PUPPET,SQL,RUBY"
1959,SOFTWARE,"ANDROID, LINUX, JAVA, EMBEDDED, MOBILE"
1960,PHP,"AJAX,MVC,HTML,PHP,CSS,LINUX"
1961,JAVA,"JSON,APACHE,JAVA,HTML,MAVEN,JAVASCRIPT"
1962,PHP,"FUELPHP, LARAVEL, PHP"
1963,SOFTWARE ARCHITECT,".NET, SOFTWARE ARCHITECT, NODEJS"
1964,.NET,"OOP,ASP.NET,C#,MVC,.NET,BACK-END,.NET CORE"
1965,BACKEND,"APACHE,SOAP,DOCKER,GIT"
1966,FRONTEND," REACTJS,  ANGULAR, JAVASCRIPT"
1967,FRONTEND,"JAVASCRIPT,TYPESCRIPT,VUEJS,GITHUB,VITE,GRAPHQL"
1968,PHP,"SQL,JAVASCRIPT,LINUX,CSS,AJAX,JQUERY"
1969,SOFTWARE,"JAVASCRIPT, C++, PHP, VUEJS"
1970,SOFTWARE,"JAVA, C++, C#, IT SUPPORT, WEB APPLICATION, .NET"
1971,FRONTEND," REACTJS,  JAVASCRIPT, NODEJS,  HTML & CSS,  RESTFUL API"
1972,GAME,"HTML5,GOLANG,LUA,C++"
1973,JAVA," ENGLISH, NODEJS"
1974,PROJECT MANAGER,"PROJECT LEADER,PROBLEM SOLVING SKILL,SOFTWARE,ENGLISH - GOOD"
1975,JAVA,"HTML,SCALA"
1976,JAVA,"GROOVY,MAVEN,APACHE,JAVASCRIPT"
1977,PROJECT MANAGER,"JAPANESE, BRIDGE, PROJECT MANAGER"
1978,TESTER,"JAVASCRIPT, AUTOMATION TEST, TESTER"
1979,JAVA,"SPRING, JAVA, SQL"
1980,.NET,"UI-UX, NODEJS, .NET"
1981,PROJECT MANAGER,"ENGLISH - GOOD, PROJECT MANAGER, BUSINESS ANALYST"
1982,DATA,"KAFKA,SQL,APACHE"
1983,BUSINESS ANALYST,"JAVASCRIPT,SPSS,VBA,SQL,PYTHON,SAS"
1984,TESTER,"ENGLISH,QA QC"
1985,FULLSTACK,"JAVASCRIPT,NODEJS,TYPESCRIPT"
1986,DEVOPS,"GOLANG,JAVA"
1987,PHP,"MVC,CSS,JQUERY,SQL,AJAX,JAVASCRIPT"
1988,JAVA,"SQL,HTML"
1989,IT HELPDESK,"IT SUPPORT, ENGLISH"
1990,SOFTWARE,"C++,PYTHON,GOLANG,SOFTWARE"
1991,BACKEND,"NODEJS,MYSQL"
1992,SOFTWARE,".NET, ASP.NET, C#"
1993,BUSINESS ANALYST,"SPSS,TABLEAU,MONGODB"
1994,SOFTWARE,"ANGULARJS,C#,PYTHON, ACCEPTED"
1995,BACKEND,"GIT,CI/CD,APACHE"
1996,DATA ANALYST,"GITHUB,C/C++,PYTHON,SAS,MATLAB,R"
1997,UI/UX DESIGNER,"SKETCH,PHOTOSHOP,ADOBE XD"
1998,SOFTWARE,"C++,JAVASCRIPT,RUBY"
1999,BUSINESS ANALYST,"AGILE,ENGLISH,BUSINESS ANALYST,TECHNICAL WRITER"
2000,GAME,"C#,GOLANG,HTML5,DART,LUA,JAVASCRIPT"
2001,PHP,"LARAVEL, REST API, PHP, BACK-END"
2002,SOFTWARE," ASP.NET,  C#, .NET"
2003,BUSINESS ANALYST,"SQL,SPSS,R,POWER BI,POWERSHELL,MONGODB"
2004,SOFTWARE,".NET, NODEJS, JAVA, REACT JS, BACK-END"
2005,PROJECT MANAGER," PRODUCT MANAGER,  PROJECT MANAGER, SCRUM"
2006,MOBILE,"REACTJS, IOS, REACT NATIVE"
2007,GAME,"C++,DART,LUA,JAVASCRIPT,C#"
2008,SOFTWARE,"PYTHON,OOP,DJANGO"
2009,JAVA,"MAVEN,JSON,SQL,CSS,SCALA"
2010,DATABASE ADMINISTRATOR,"ORACLE,MYSQL,SQL SERVER"
2011,JAVA,"JAVA, J2EE, SQL, HIBERNATE, SPRING, BACK-END, STRUTS"
2012,FRONTEND,"JAVASCRIPT, CSS, FRONT-END, VUEJS"
2013,SOFTWARE,"WPF, C#, ASP.NET, AZURE, WINFORM"
2014,PHP,"CSS,JQUERY,HTML"
2015,SOFTWARE," JAVASCRIPT,  PHP, JSON"
2016,PROJECT MANAGER,"PROJECT MANAGER,JAPANESE,AGILE"
2017,SOFTWARE,"SOFTWARE, HTML & CSS, JAVASCRIPT, TYPESCRIPT, RESTFUL API"
2018,FULLSTACK,"REACTJS,JAVASCRIPT,NODEJS"
2019,UI/UX DESIGNER,"UI-UX,AGILE,DESIGNER"
2020,FRONTEND,"ANGULAR,CSS,GIT,VUEJS,GITHUB,HTML"
2021,BACKEND,"APACHE,RUST,SQL,KAFKA,PHP,SOAP"
2022,DATA ANALYST,"JAVASCRIPT,R,MATLAB"
2023,TESTER,"SELENIUM,  AUTOMATION TEST, TESTER"
2024,MOBILE,"SWIFT,REACT NATIVE,JAVASCRIPT,SCALA,KOTLIN,JAVA"
2025,FULLSTACK," OOP,  DATABASE, MVC"
2026,BUSINESS ANALYST,"SQL,JAVASCRIPT,MONGODB,R,VISIO"
2027,DEVOPS,"BASH,C,RUBY"
2028,SOFTWARE,"JAVA,C++,PYTHON,JAVASCRIPT"
2029,JAVA,"AGILE,JAVA,SCRUM,JAVA SPRING BOOT"
2030,QC," JMETER,  MANUAL TEST, SELENIUM,  APPIUM,  AUTOMATION QC"
2031,NETWORK,"VMWARE, CCNA/ CCNP, SDN, WAN, LAN"
2032,BUSINESS ANALYST,"EXCEL,VBA,SQL"
2033,FRONTEND,"CSS,JAVASCRIPT,JQUERY,HTML,FRONT-END"
2034,TESTER,"JAVA,PHP,PYTHON"
2035,BUSINESS ANALYST,"MONGODB,EXCEL,POWERSHELL,POWER BI,SPSS,TABLEAU"
2036,SOFTWARE,"ASP.NET, .NET, C#"
2037,SOFTWARE," JAVA EE,  AWS, REACT JS"
2038,FULLSTACK," C#,  .NET, ASP.NET"
2039,BUSINESS ANALYST,"SPSS,POWER BI,EXCEL,TABLEAU,PYTHON"
2040,TESTER,"TESTER, JAPANESE, BRIDGE"
2041,FRONTEND," JAVASCRIPT,  REACTJS, NODEJS"
2042,FRONTEND,"VUEJS,REACTJS,JAVASCRIPT"
2043,PROJECT MANAGER,"PROJECT MANAGER,ENGLISH,SOFTWARE,PROBLEM SOLVING SKILL,AGILE & SCRUM"
2044,UI/UX DESIGNER,"JAVASCRIPT,SKETCH,HTML"
2045,GAME,"C,JAVASCRIPT,PYTHON,DART,C#,C++"
2046,MOBILE,"RUBY,RUST,REACT NATIVE,SCALA"
2047,PHP,"JQUERY,AJAX,HTML,SQL,MVC"
2048,.NET," MYSQL,  .NET, JAVASCRIPT"
2049,JAVA,"OOP,JAVA,DESIGN PATTERNS,JAVA CORE"
2050,SOFTWARE,"GOLANG,C++,R,SQL,C#,JAVA"
2051,SOFTWARE,"ENGLISH, JAVA, ERP"
2052,TESTER,"C#,PHP,JAVA,KOTLIN"
2053,FULLSTACK,"REDIS,MONIT"
2054,SOFTWARE," NODEJS,  TEAM LEADER, JAVA"
2055,SOFTWARE,"PYTHON, C++"
2056,TESTER,"PYTHON,JAVA"
2057,FRONTEND,"REACTJS, HTML5, CSS"
2058,DEVOPS," CI/CD,  LINUX, DEVOPS"
2059,BUSINESS ANALYST,"SPSS,SQL,POWER BI"
2060,DATA ANALYST,"JAVASCRIPT,SAS,R,GITHUB"
2061,FRONTEND,"JAVASCRIPT, CSS, HTML, ANGULAR, FRONT-END"
2062,SOFTWARE,"JAVA,ENGLISH,ERP"
2063,FULLSTACK," JAVASCRIPT,  JAVA, TYPESCRIPT"
2064,.NET,"HTML5, CSS, .NET"
2065,FRONTEND,"ANGULAR, .NET, REACTJS"
2066,DATA,"DATA ANALYST,MYSQL,SQL"
2067,BACKEND," MYSQL,  JAVA, BLOCKCHAIN"
2068,JAVA,"JAVA, ORACLE, SPRING"
2069,FRONTEND," REACTJS,  JAVASCRIPT, FRONT-END,  HTML & CSS"
2070,DEVOPS,"RUBY,JAVA,JAVASCRIPT,PHP,POWERSHELL,GOLANG"
2071,BUSINESS ANALYST,"MONGODB,SQL,JAVASCRIPT,VISIO,SPSS,VBA"
2072,FULLSTACK," SQL, C#"
2073,FULLSTACK,"GITHUB,TAILWIND,JWT,REACTJS,GIT"
2074,DEVOPS,"JAVASCRIPT,RUBY,PYTHON"
2075,DATA ANALYST,"R,C/C++,GITHUB,JAVASCRIPT,PYTHON,SAS"
2076,FRONTEND,"FRONT-END, JAVASCRIPT, OOP, VUEJS, REACTJS, ANGULAR, TYPESCRIPT"
2077,SOFTWARE,"RUBY,C#"
2078,GAME,"PYTHON,C,C++,GOLANG,C#"
2079,TESTER,"QA QC,TESTER,AUTOMATION TEST"
2080,FULLSTACK,"JAVA,PHP,C#, ACCEPTED"
2081,BACKEND,"KAFKA,GIT,SOAP,SQL"
2082,BACKEND,"PYTHON,GIT,APACHE,CI/CD,KAFKA,SQL"
2083,DATA,"SQL,SNOWFLAKE,KAFKA,APACHE,JAVA,MONGODB"
2084,SOFTWARE,"GOLANG,PYTHON,JAVASCRIPT,JAVA"
2085,BUSINESS ANALYST,POWER BI SPECIALIST
2086,DEVOPS,"SQL,BASH,PHP,C,POWERSHELL,PUPPET"
2087,DATA," SQL,  PYTHON, KOTLIN"
2088,UI/UX DESIGNER,"CSS,HTML,ADOBE XD,JAVASCRIPT,XML"
2089,NETWORK,"CCNA/ CCNP,VMWARE,SDN,LAN,WAN"
2090,.NET,"SQL,REDIS,C#,GITHUB,DOCKER"
2091,FRONTEND,"REACT NATIVE, REACTJS, JAVASCRIPT"
2092,BACKEND,"NODEJS,BACK-END,ELIXIR - RAILS"
2093,TESTER,"KOTLIN,JAVA,RUBY,PHP"
2094,PROJECT MANAGER,"BUSINESS ANALYST, ENGLISH - GOOD, PROJECT MANAGER"
2095,DEVOPS,"RUBY,PUPPET,PHP,JAVA,POWERSHELL,SQL"
2096,FRONTEND,"REACT NATIVE,REACTJS,JAVASCRIPT"
2097,QA,"QA,ENGLISH,AGILE & SCRUM,MANUAL TEST"
2098,BUSINESS ANALYST,"MONGODB,EXCEL,TABLEAU,POWERSHELL,POWER BI"
2099,.NET,"SQL SERVER, .NET, ASP.NET MVC, .NET CORE"
2100,SOFTWARE,"C#,R,RUBY,JAVASCRIPT"
2101,SOFTWARE,"CLOUD, MANAGER, SOFTWARE ARCHITECT"
2102,MOBILE,"SCALA,JAVA"
2103,TESTER,"JAVASCRIPT,C#,PYTHON,KOTLIN"
2104,GAME," C#,  UNITY, JAVA"
2105,FULLSTACK,"VUEJS, JAVASCRIPT, TYPESCRIPT"
2106,NETWORK," LINUX, EMBEDDED"
2107,TESTER,"JAVASCRIPT,PHP,KOTLIN,JAVA,C#"
2108,.NET,"DOCKER,AZURE,GITLAB,C#"
2109,SOFTWARE,"PROJECT MANAGER,JAPANESE,BRIDGE"
2110,SOFTWARE,"SQL,GOLANG,JAVA,JAVASCRIPT,RUBY"
2111,FRONTEND," TEAM LEADER,  REACTJS, JAVASCRIPT"
2112,TESTER,"RUBY,JAVA,JAVASCRIPT,PHP"
2113,DATA,"DATABASE,GOLANG,.NET"
2114,FULLSTACK,"REACTJS,ANGULAR,NODEJS"
2115,DATA,"MONGODB, SQL, NOSQL, DATA"
2116,GAME,"DART,PYTHON,C,HTML5"
2117,PHP,"PHP,AGILE,LARAVEL"
2118,TESTER,"KOTLIN,PYTHON,PHP,C#,JAVA"
2119,JAVA,"MAVEN,GROOVY,JSON,SQL,CSS"
2120,JAVA," SPRING,  JAVA, MVC"
2121,DATABASE ADMINISTRATOR,"DATABASE, SQL SERVER, ORACLE"
2122,.NET,"ASP.NET,ASP.NET CORE"
2123,DATA,"DATABASE,SQL,PYTHON"
2124,BACKEND,"ENGLISH, OOP, JAVA"
2125,UI/UX DESIGNER,"JAVASCRIPT,HTML,XML,SKETCH,FIGMA"
2126,BUSINESS ANALYST,"UI/UX, UML, BUSINESS ANALYST"
2127,BACKEND,"POSTGRESQL, NODEJS, .NET"
2128,JAVA,"KOTLIN,APACHE"
2129,TESTER,"TESTER,DATA ANALYST,SQL"
2130,BUSINESS ANALYST,"EXCEL,TABLEAU,SQL,PYTHON"
2131,DEVOPS," AWS,  DEVOPS, AZURE"
2132,IT HELPDESK,"ITIL/ITSM, IT SERVICE"
2133,BACKEND,"AWS, MYSQL, PHP"
2134,GAME," GAME,  LUA, C/C++"
2135,BACKEND," JAVASCRIPT,  PYTHON, GOLANG"
2136,JAVA,"SQL,SCALA,CSS,GROOVY,MAVEN,JAVASCRIPT"
2137,JAVA,"SPRING, JAVA, AWS"
2138,UI/UX DESIGNER," ADOBE CREATIVE SUITE,  BOOTSTRAP, UI DESIGN"
2139,BACKEND,"RUST,DOCKER,GIT,SQL"
2140,PHP,"SQL,LINUX,JAVASCRIPT,MYSQL,HTML,CSS"
2141,PRODUCT MANAGER,"ANDROID, PRODUCT MANAGER"
2142,DEVOPS,"SQL,PYTHON,PERL,GOLANG,JAVA,JAVASCRIPT"
2143,BACKEND,"JAVA, ASP.NET, .NET"
2144,TESTER,"TESTER, QA QC"
2145,DATABASE ADMINISTRATOR,"ORACLE, SQL, DATABASE"
2146,.NET,".NET, ASP.NET, C#"
2147,BACKEND," POSTGRESQL,  RUBY ON RAILS, RUBY"
2148,CLOUD," CISCO,  .NET, DEVOPS,  VMWARE,  CLOUD MIGRATION SERVICE (AWS"
2149,PHP,"MYSQL,MVC,SQL,HTML,JAVASCRIPT"
2150,FULLSTACK," REACTJS,  MYSQL, NODEJS"
2151,PHP,"PHP,JAVASCRIPT,POSTGRESQL"
2152,JAVA,"JAVA,AGILE,AWS"
2153,DATA," AWS,  CLOUD, DATABASE"
2154,FRONTEND,"REACTJS,VUEJS,NEXTJS,NPM,GIT,TYPESCRIPT"
2155,TESTER,"JAVASCRIPT,JAVA,PHP,RUBY,C#"
